date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
8/30/2013,Credit card,,Credit line increase/decrease,,,,Discover,MD,20853,Older American,,Web,8/30/2013,Closed with explanation,Yes,No,511168
8/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Fifth Third Financial Corporation,NC,28075,,,Postal mail,9/4/2013,Closed with monetary relief,Yes,No,511169
9/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Banco Popular de Puerto Rico,PR,639,,,Postal mail,10/8/2013,Closed with explanation,Yes,No,530694
9/17/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Guaranteed Rate,CA,90066,,,Web,9/18/2013,Closed with explanation,Yes,No,530695
9/17/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NC,28269,,,Web,9/18/2013,Closed with explanation,Yes,No,531326
9/10/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,WA,98110,,,Referral,9/10/2013,Closed with explanation,Yes,No,521455
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,90605,,,Postal mail,10/4/2013,Closed with non-monetary relief,Yes,No,540901
9/17/2013,Credit card,,Credit line increase/decrease,,,,BBVA Compass,TX,79606,,,Postal mail,9/18/2013,Closed with explanation,Yes,No,530653
9/17/2013,Credit card,,Late fee,,,,Citibank,NY,10027,Older American,,Phone,9/18/2013,Closed with monetary relief,Yes,No,530699
9/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Loan Care,DE,19802,,,Web,9/10/2013,Closed with explanation,Yes,No,521426
9/24/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,MA,2119,,,Web,9/25/2013,Closed with non-monetary relief,Yes,No,540452
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,CA,90605,,,Postal mail,10/4/2013,Closed with non-monetary relief,Yes,No,540902
8/30/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"TransUnion Intermediate Holdings, Inc.",NY,12701,Older American,,Web,9/4/2013,Closed with explanation,Yes,Yes,509989
8/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Citibank,CA,92220,,,Postal mail,9/4/2013,Closed with explanation,Yes,No,511173
9/10/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,OH,45227,,,Postal mail,9/10/2013,Closed with explanation,Yes,No,521431
9/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,IN,46123,,,Web,9/10/2013,Closed with explanation,Yes,No,521432
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,CA,90265,,,Web,9/25/2013,Closed with explanation,Yes,No,540453
9/24/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Capital One,IL,60628,,,Web,9/25/2013,Closed with explanation,Yes,No,540391
9/24/2013,Credit card,,Closing/Cancelling account,,,,JPMorgan Chase & Co.,VA,22302,Servicemember,,Web,9/24/2013,Closed with monetary relief,Yes,Yes,540455
9/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33619,,,Web,9/18/2013,Closed with explanation,Yes,No,530701
9/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",CA,95377,,,Web,9/17/2013,Closed with non-monetary relief,Yes,No,530107
9/10/2013,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,FL,33408,Older American,,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521434
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",AR,72824,Servicemember,,Web,9/24/2013,Closed with explanation,Yes,No,540833
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,WV,24910,,,Postal mail,10/7/2013,Closed with explanation,Yes,No,541178
9/24/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CA,93022,,,Web,9/25/2013,Closed with explanation,Yes,No,540462
9/24/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,NC,28213,,,Referral,9/25/2013,Closed with explanation,Yes,No,540551
9/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,FL,34120,Older American,,Web,9/18/2013,Closed with explanation,Yes,No,530709
8/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,AZ,85249,,,Web,9/4/2013,Closed with explanation,Yes,Yes,511182
8/30/2013,Credit card,,Billing disputes,,,,KeyBank NA,NY,14618,,,Web,10/4/2013,Closed with monetary relief,Yes,No,511187
9/24/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Residential Credit Solutions,NV,89128,,,Referral,11/8/2013,Closed with explanation,Yes,No,540559
9/24/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Wells Fargo & Company,UT,84041,,,Web,9/25/2013,Closed with explanation,Yes,No,540467
9/10/2013,Consumer Loan,Personal line of credit,Account terms and changes,,,,HSBC North America Holdings Inc.,GA,30106,,,Web,9/10/2013,Closed with explanation,Yes,Yes,521443
9/24/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,TCF National Bank,MN,55416,,,Referral,9/25/2013,Closed with explanation,Yes,No,540541
